"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Yasutaka Uchiyama","9","0.58","0.27","2.15","58.7","68","48.8","60.1","58.5","73.8"
"Liam Draxl","9","0.62","0.39","1.59","65.8","69.3","47.6","61.9","55","75.7"
"Juan Manuel Cerundolo","9","0.38","0.24","1.58","58.9","70.3","50","62","54.2","77.6"
"Roberto Carballes Baena","9","0.27","0.23","1.17","58.5","69.3","48.9","60.9","61.8","75"
"Matteo Gigante","9","0.37","0.55","0.67","54.1","71.1","48.5","60.7","57.6","72.8"
"Pedro Martinez","9","0.12","0.38","0.32","61.2","63.3","49.8","58.1","63","69.7"
"Bernard Tomic","8","0.54","0.05","10.8","66.2","66.8","58.3","63.9","61.4","79.8"
"Pavel Kotov","8","0.47","0.15","3.13","66.7","68.4","49.3","62.1","67.2","79.6"
"Patrick Kypson","8","0.81","0.31","2.61","60.8","72.7","49.1","63.5","66.7","80.2"
"Beibit Zhukayev","8","1.12","0.46","2.43","59.8","79","42.3","64.3","67.3","81.8"
"Andrea Vavassori","8","0.67","0.32","2.09","57.3","74.8","50","64.2","58.5","79"
"Juan Pablo Ficovich","8","0.33","0.19","1.74","59.9","70.2","47.5","61.1","60","72.5"
"Daniel Elahi Galan","8","0.51","0.31","1.65","57.3","72.5","49.3","62.6","73.3","79.2"
"Otto Virtanen","8","0.45","0.36","1.25","61.6","71.6","46.8","62.1","64","79.5"
"Federico Agustin Gomez","8","0.55","0.48","1.15","59.4","70.4","45.1","60.1","56.1","72.6"
"Zhizhen Zhang","7","0.65","0.18","3.61","67.1","71.4","47","63.4","69","78"
"Darwin Blanch","7","0.65","0.22","2.95","61.2","76","56.1","68.3","73.7","89.4"
"Filip Misolic","7","0.54","0.35","1.54","60.3","69.7","46.9","60.6","67.2","75.6"
"Christian Garin","7","0.4","0.3","1.33","57.8","65.4","51.8","59.6","59.6","74.7"
"Martin Landaluce","7","0.48","0.46","1.04","60.3","71.7","48.8","62.6","64.6","78.8"
"Vit Kopriva","7","0.2","0.56","0.36","58","66","40.2","55.1","54.1","62.7"
"Yi Zhou","6","0.79","0.08","9.88","66.4","70.9","49.2","63.6","69.4","81.3"
"Jerome Kym","6","0.9","0.21","4.29","59.5","78.2","53.8","68.3","60","87.5"
"James McCabe","6","0.6","0.17","3.53","56.1","73","39.3","58.2","33.3","68.8"
"Martin Damm Jr","6","1.07","0.33","3.24","63.3","79.3","51.3","69","67.6","86.7"
"Dusan Lajovic","6","0.32","0.14","2.29","71","65.3","43.8","59.1","51.4","69.5"
"Hady Habib","6","0.65","0.38","1.71","63.8","70.3","46","61.5","70.9","76.8"
"Dino Prizmic","6","0.51","0.33","1.55","59.6","73.6","50.8","64.4","68.4","82.9"
"Dmitry Popko","6","0.42","0.3","1.4","53","71.9","49","61.2","56.4","74.2"
"Alexis Galarneau","6","0.23","0.17","1.35","60.4","65.5","50","59.4","47.8","68"
"Li Tu","6","0.61","0.48","1.27","52.6","77.7","45.6","62.5","58.8","77"
"Govind Nanda","6","0.18","0.18","1","66","67","42.2","58.6","48.5","66.7"
"Facundo Bagnis","5","0.47","0.21","2.24","63.3","67.2","57.2","63.5","71.4","80.6"
"Sebastian Ofner","5","0.81","0.37","2.19","51.5","79.9","49","64.9","63.2","79.1"
"Marcelo Tomas Barrios-Vera","5","0.35","0.18","1.94","65.4","65.5","48.7","59.7","67.4","75"
"Sho Shimabukuro","5","0.29","0.17","1.71","58.2","70.8","56.5","64.8","52.6","82.7"
"Jason Kubler","5","0.38","0.23","1.65","57","72.4","51","63.2","60","77.4"
"Rodrigo Pacheco Mendez","5","0.32","0.2","1.6","66.5","67.3","51.4","62","63.2","78.5"
"Gauthier Onclin","5","0.3","0.26","1.15","65.7","66.8","47.4","60.2","56.8","71.9"
"Zsombor Piros","5","0.33","0.3","1.1","62.3","65.2","47.1","58.4","47.2","69.8"
"Fajing Sun","5","0.23","0.29","0.79","52.4","62.1","47.2","55","51.5","66.7"
"Daniel Evans","5","0.29","0.38","0.76","55.9","67.3","49.7","59.5","50","69"
"Marco Trungelliti","5","0.25","0.46","0.54","55.4","68.2","52.1","61","66.7","76.2"
"Marc-Andrea Huesler","4","0.83","0.13","6.38","60.8","74.9","58.5","68.5","50","84.6"
"Nick Kyrgios","4","0.82","0.18","4.56","66","72","43.4","62.3","33.3","74.4"
"Tyler Zink","4","0.68","0.22","3.09","61.6","72.6","48.4","63.3","52.2","81.7"
"August Holmgren","4","0.71","0.27","2.63","66.6","76.1","49.5","67.2","70","88.2"
"Thiago Seyboth Wild","4","0.67","0.29","2.31","61.9","76.8","39.3","62.5","68.6","75.6"
"Harold Mayot","4","0.6","0.28","2.14","64.7","74.7","49.1","65.7","71.4","83"
"Laslo Djere","4","0.38","0.21","1.81","64.1","69.6","47.9","61.8","52.4","74.4"
"Francesco Passaro","4","0.62","0.38","1.63","56.2","75.8","48.3","63.7","61.3","81.5"
"Jaime Faria","4","0.46","0.33","1.39","53.8","69.3","44.8","58","59.1","66.7"
"Federico Cina","4","0.29","0.21","1.38","69.3","71.9","48.1","64.6","55","78.6"
"Pablo Llamas Ruiz","4","0.4","0.3","1.33","59.9","69.4","55","63.6","81","84"
"Ignacio Buse","4","0.3","0.28","1.07","61.3","75.4","46.6","64.2","60.7","79.6"
"Borna Coric","4","0.37","0.35","1.06","55.6","69.1","52.9","61.9","60","77.8"
"Kyrian Jacquet","4","0.44","0.42","1.05","52.1","73","45.4","59.8","71.8","78"
"Alan Magadan","4","0.24","0.24","1","51.7","69.5","51.4","60.7","28.6","69.4"
"Yuta Shimizu","4","0.14","0.22","0.64","62.6","65.4","53.1","60.8","64.3","79.6"
"Kei Nishikori","4","0.17","0.27","0.63","62.9","64.1","46.2","57.4","52.9","69.2"
"Mark Lajal","4","0.32","0.54","0.59","52.5","61.9","46.5","54.6","53.1","59.5"
"Daniel Merida Aguilar","4","0.07","0.26","0.27","71.9","61.4","46.4","57.2","60.5","67.4"
"Garrett Johns","3","0.52","0.1","5.2","52.8","74.8","56.3","66.1","66.7","87.1"
"Stefano Napolitano","3","0.5","0.11","4.55","61.2","63.5","53.5","59.6","64.3","72.2"
"Stan Wawrinka","3","0.32","0.08","4","57","78.5","56.1","68.9","58.3","86.8"
"Nicolas Jarry","3","1.03","0.28","3.68","62.4","74.3","49.4","65","55.6","79.5"
"Titouan Droguet","3","0.62","0.21","2.95","55.3","71.7","51.3","62.6","53.8","79.3"
"Dhakshineswar Suresh","3","0.68","0.26","2.62","62.5","70","59","65.9","50","82.4"
"Radu Albot","3","0.33","0.18","1.83","62.4","69.2","47.9","61.2","42.1","71.8"
"Stefan Dostanic","3","0.52","0.29","1.79","68.8","68.2","48.3","62","68","81"
"Nicolas Mejia","3","0.3","0.17","1.76","59.6","70.5","55.3","64.4","61.5","83.3"
"Dane Sweeny","3","0.28","0.19","1.47","59.4","67.1","49","59.8","55","75"
"Henrique Rocha","3","0.5","0.36","1.39","54.5","79.7","51.4","66.8","75","91.7"
"Kimmer Coppejans","3","0.55","0.45","1.22","55","72.4","42.1","58.8","70.4","74.2"
"Hugo Grenier","3","0.52","0.43","1.21","60.1","68.4","39.2","56.7","61.1","66.7"
"Andres Martin","3","0.34","0.31","1.1","61.7","66.9","45.6","58.7","71.4","72.4"
"Pierre-Hugues Herbert","3","0.67","0.67","1","57.5","76.6","44.9","63.1","74.2","82.6"
"Omar Jasika","3","0.26","0.32","0.81","68.4","53.1","41.9","49.6","43.8","47.1"
"Hugo Dellien","3","0.23","0.33","0.7","61.1","64.9","43","56.4","58.8","64.1"
"Lukas Klein","3","0.26","0.4","0.65","57.4","63.9","41.3","54.3","65","60"
"Moerani Bouzige","3","0.37","0.74","0.5","56.1","73.4","42.9","60","58.3","73.7"
"Jozef Kovalik","3","0.15","0.3","0.5","60.3","64.1","40.3","54.6","45.8","60.6"
"Luca Van Assche","3","0.25","0.56","0.45","59.5","68","40.2","56.7","54.2","65.6"
"Alibek Kachmazov","3","0.24","0.71","0.34","53.7","60.3","52","56.5","61.1","58.8"
"Stefan Kozlov","3","0","0.21","0","67.3","48.5","49","48.7","48","45.8"
